clip_id,source,file,orig_sr,channels,dur_s,split_mode,gallery_start_s,gallery_end_s,query_start_s,query_end_s,doppler_sign,speed_pct,snr_db,n_seg_gallery,n_seg_query_clean,n_seg_query_speed
Decommissioned__10,Decommissioned,10.wav,44100,1,67.4,half_split,0.0,33.7,33.7,67.4,approach,4.0,10.0,7,7,7
Decommissioned__11,Decommissioned,11.wav,44100,1,178.1,half_split,0.0,89.1,89.1,178.1,recede,4.0,10.0,18,18,19
Decommissioned__21,Decommissioned,21.wav,11025,1,1014.0,first_last_5min,0.0,300.0,714.0,1014.0,recede,4.0,10.0,60,60,63
Decommissioned__3,Decommissioned,3.wav,44100,1,104.4,half_split,0.0,52.2,52.2,104.4,approach,4.0,10.0,11,11,10
Decommissioned__7,Decommissioned,7.wav,44100,1,116.7,half_split,0.0,58.3,58.3,116.7,recede,4.0,10.0,12,12,12
Decommissioned__8,Decommissioned,8.wav,44100,1,177.6,half_split,0.0,88.8,88.8,177.6,approach,4.0,10.0,18,18,17
Decommissioned__9,Decommissioned,9.wav,44100,1,127.8,half_split,0.0,63.9,63.9,127.8,recede,4.0,10.0,13,13,14
MV__MV_1,MV,MV 1.wav,44100,2,319.7,half_split,0.0,159.8,159.8,319.7,recede,4.0,10.0,32,32,34
MV__MV_10,MV,MV 10.wav,44100,1,913.3,first_last_5min,0.0,300.0,613.3,913.3,approach,4.0,10.0,60,60,58
MV__MV_11,MV,MV 11.wav,31250,1,408.0,half_split,0.0,204.0,204.0,408.0,approach,4.0,10.0,41,41,40
MV__MV_12,MV,MV 12.wav,44100,1,1110.1,first_last_5min,0.0,300.0,810.1,1110.1,recede,4.0,10.0,60,60,63
MV__MV_13,MV,MV 13.wav,44100,1,7661.2,first_last_5min,0.0,300.0,7361.2,7661.2,recede,4.0,10.0,60,60,63
MV__MV_14,MV,MV 14.wav,44100,1,745.5,first_last_5min,0.0,300.0,445.5,745.5,recede,4.0,10.0,60,60,63
MV__MV_2,MV,MV 2.wav,32000,1,643.7,first_last_5min,0.0,300.0,343.7,643.7,approach,4.0,10.0,60,60,58
MV__MV_3,MV,MV 3.wav,32000,1,851.1,first_last_5min,0.0,300.0,551.1,851.1,recede,4.0,10.0,60,60,63
MV__MV_4,MV,MV 4.wav,32000,1,668.9,first_last_5min,0.0,300.0,368.9,668.9,approach,4.0,10.0,60,60,58
MV__MV_5,MV,MV 5.wav,32000,1,1140.8,first_last_5min,0.0,300.0,840.8,1140.8,recede,4.0,10.0,60,60,63
MV__MV_6,MV,MV 6.wav,32000,1,888.9,first_last_5min,0.0,300.0,588.9,888.9,approach,4.0,10.0,60,60,58
MV__MV_7,MV,MV 7.wav,32000,1,1123.3,first_last_5min,0.0,300.0,823.3,1123.3,approach,4.0,10.0,60,60,58
MV__MV_8,MV,MV 8.wav,31250,1,513.0,half_split,0.0,256.5,256.5,513.0,recede,4.0,10.0,52,52,54
MV__MV_9,MV,MV 9.wav,44100,1,83.2,half_split,0.0,41.6,41.6,83.2,approach,4.0,10.0,9,9,8
