tensor_path,clip_id,source,piece,condition,seg_index,shape,dtype,sr,ok,split_mode,doppler_sign,speed_pct,snr_db
Decommissioned__10/Decommissioned__10__gallery__clean__seg00.npy,Decommissioned__10,Decommissioned,gallery,clean,0,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__gallery__clean__seg01.npy,Decommissioned__10,Decommissioned,gallery,clean,1,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__gallery__clean__seg02.npy,Decommissioned__10,Decommissioned,gallery,clean,2,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__gallery__clean__seg03.npy,Decommissioned__10,Decommissioned,gallery,clean,3,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__gallery__clean__seg04.npy,Decommissioned__10,Decommissioned,gallery,clean,4,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__gallery__clean__seg05.npy,Decommissioned__10,Decommissioned,gallery,clean,5,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__gallery__clean__seg06.npy,Decommissioned__10,Decommissioned,gallery,clean,6,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__clean__seg00.npy,Decommissioned__10,Decommissioned,query,clean,0,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__clean__seg01.npy,Decommissioned__10,Decommissioned,query,clean,1,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__clean__seg02.npy,Decommissioned__10,Decommissioned,query,clean,2,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__clean__seg03.npy,Decommissioned__10,Decommissioned,query,clean,3,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__clean__seg04.npy,Decommissioned__10,Decommissioned,query,clean,4,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__clean__seg05.npy,Decommissioned__10,Decommissioned,query,clean,5,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__clean__seg06.npy,Decommissioned__10,Decommissioned,query,clean,6,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__noise__seg00.npy,Decommissioned__10,Decommissioned,query,noise,0,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__noise__seg01.npy,Decommissioned__10,Decommissioned,query,noise,1,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__noise__seg02.npy,Decommissioned__10,Decommissioned,query,noise,2,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__noise__seg03.npy,Decommissioned__10,Decommissioned,query,noise,3,"(1, 1, 40000)",float32,8000,1,,,,
